OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00211600,ANDOVER NEWTON THEOLOGICAL SCHOOL,MA,024592243,Private-Nonprofit,0,0,0,0,0,
00211700,ANNA MARIA COLLEGE,MA,016121198,Private-Nonprofit,174,184,2784620,322,2784620,
00211800,ASSUMPTION COLLEGE,MA,016151294,Private-Nonprofit,256,281,4276481,488,4276481,
00212000,MERRIMACK COLLEGE,MA,018455800,Private-Nonprofit,428,487,9218710,928,9218710,
00212100,BABSON COLLEGE,MA,024570310,Private-Nonprofit,78,84,1808292,140,1808292,
00212200,BAY PATH UNIVERSITY,MA,011062212,Private-Nonprofit,142,154,1528126,264,1528126,
00212300,BECKER COLLEGE,MA,016150071,Private-Nonprofit,362,388,6648703,761,6648703,
00212400,BENTLEY UNIVERSITY,MA,024524705,Private-Nonprofit,230,276,5446576,511,5446576,
00212600,BERKLEE COLLEGE OF MUSIC,MA,022153693,Private-Nonprofit,555,668,19650121,1082,19650121,
00212800,BOSTON COLLEGE,MA,024673800,Private-Nonprofit,586,660,16209250,1200,16209250,
00213000,BOSTON UNIVERSITY,MA,022151789,Private-Nonprofit,1074,1330,28523718,2291,28523718,
00213300,BRANDEIS UNIVERSITY,MA,024532728,Private-Nonprofit,204,260,4215285,434,4215285,
00213900,CLARK UNIVERSITY,MA,016101473,Private-Nonprofit,150,168,2017615,303,2017615,
00214000,COLLEGE OF OUR LADY OF THE ELMS,MA,010132839,Private-Nonprofit,172,185,2487607,324,2487607,
00214100,COLLEGE OF THE HOLY CROSS,MA,016102395,Private-Nonprofit,204,232,4941142,398,4941142,
00214300,CURRY COLLEGE,MA,021862395,Private-Nonprofit,320,331,6497676,642,6497676,
00214400,DEAN COLLEGE,MA,020381994,Private-Nonprofit,299,317,5525175,612,5525175,
00214500,EASTERN NAZARENE COLLEGE,MA,021702999,Private-Nonprofit,127,128,1615929,247,1615929,
00214600,EMERSON COLLEGE,MA,021164624,Private-Nonprofit,476,554,13539569,931,13539569,
00214700,EMMANUEL COLLEGE,MA,021155798,Private-Nonprofit,328,342,6305714,636,6305714,
00214800,ENDICOTT COLLEGE,MA,019152098,Private-Nonprofit,318,351,6435791,609,6435791,
00214900,EPISCOPAL DIVINITY SCHOOL,MA,021383494,Private-Nonprofit,0,0,0,0,0,
00215000,FISHER COLLEGE - BOSTON,MA,021161500,Private-Nonprofit,267,273,3314651,511,3314651,
00215100,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,MA,021166296,Public,43,43,502575,82,502575,
00215300,GORDON COLLEGE,MA,019841899,Private-Nonprofit,198,239,3839047,376,3839047,
00215400,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY,MA,024457496,Private-Nonprofit,20,22,278590,38,278590,
00215500,HARVARD UNIVERSITY,MA,021383800,Private-Nonprofit,146,161,3967921,295,3967921,
00215700,HEBREW COLLEGE,MA,024592237,Private-Nonprofit,0,0,0,0,0,
00215800,LASELL COLLEGE,MA,024662716,Private-Nonprofit,339,385,5538249,652,5538249,
00216000,LESLEY UNIVERSITY,MA,021382790,Private-Nonprofit,240,266,5060306,467,5060306,
00216100,UNIVERSITY OF MASSACHUSETTS - LOWELL,MA,018542881,Public,668,700,7244047,1303,7244047,
00216400,NEW ENGLAND COLLEGE OF OPTOMETRY (THE),MA,021151129,Private-Nonprofit,0,0,0,0,0,
00216500,MCPHS UNIVERSITY,MA,021155804,Private-Nonprofit,599,808,15674140,1311,15674140,
00216700,BERKSHIRE COMMUNITY COLLEGE,MA,012015786,Public,4,4,17800,7,17800,
00216800,CAPE COD COMMUNITY COLLEGE,MA,026681599,Public,4,5,28791,9,28791,
00216900,GREENFIELD COMMUNITY COLLEGE,MA,013019739,Public,11,11,41600,20,41600,
00217000,HOLYOKE COMMUNITY COLLEGE,MA,010401099,Public,4,4,21321,10,21321,
