OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00218300,BRIDGEWATER STATE COLLEGE,MA,023250001,PUBLIC,255,287,1661843,529,1596290
00218400,FITCHBURG STATE COLLEGE,MA,014202697,PUBLIC,157,165,1047668,298,1000871
00219200,MOUNT HOLYOKE COLLEGE,MA,010751492,PRIVATE,228,245,4263463,486,4163103
00220900,TRUSTEES OF THE SMITH COLLEGE,MA,010632936,PRIVATE,0,0,0,0,0
00221000,UNIVERSITY OF MASSACHUSETTS - DARTMOUTH,MA,027472300,PUBLIC,368,377,3657055,689,3491526
00221700,STONEHILL COLLEGE,MA,023576110,PRIVATE,481,486,7546611,981,7373298
00221800,SUFFOLK UNIVERSITY,MA,021082770,PRIVATE,642,656,10513216,1249,10002508
00222100,UNIVERSITY OF MASSACHUSETTS - AMHERST,MA,010030000,PUBLIC,1359,1460,14843454,2765,14291003
00222200,UNIVERSITY OF MASSACHUSETTS - BOSTON,MA,021253393,PUBLIC,268,268,1797085,473,1682579
00222500,WENTWORTH INSTITUTE OF TECHNOLOGY,MA,021155998,PRIVATE,349,397,4640841,768,4486707
00222600,WESTERN NEW ENGLAND COLLEGE,MA,011192654,PRIVATE,281,301,4007049,562,3787074
00222900,WILLIAMS COLLEGE,MA,012672600,PRIVATE,115,127,2072729,246,2027866
00466100,HAMPSHIRE COLLEGE,MA,010023359,PRIVATE,0,0,0,0,0
00466600,SALTER COLLEGE,MA,015831700,PROPRIETARY,17,17,94403,30,75578
00527900,GREATER LOWELL REGIONAL VOCATIONAL TECHNICAL SCHOOL,MA,018792214,PUBLIC,0,0,0,0,0
00748800,KAPLAN CAREER INSTITUTE,MA,021291644,PROPRIETARY,71,78,522695,149,482618
00807800,SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,MA,011019000,PUBLIC,5,5,14771,8,12271
00987700,HENRI'S SCHOOL OF HAIR DESIGN,MA,014205675,PROPRIETARY,22,22,120700,34,106985
01204200,MANSFIELD BEAUTY SCHOOLS,MA,021695061,PROPRIETARY,10,10,65380,19,62003
01206800,MANSFIELD BEAUTY SCHOOLS,MA,011031410,PROPRIETARY,2,2,10589,5,10109
01288100,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL,MA,014204649,PUBLIC,1,1,8075,2,8075
02215100,HALLMARK INSTITUTE OF PHOTOGRAPHY,MA,013761604,PROPRIETARY,34,46,1163767,86,1164319
02325700,LABARON HAIRDRESSING ACADEMY,MA,027406031,PROPRIETARY,13,15,52241,26,47038
02325800,LABARON HAIRDRESSING ACADEMY,MA,023015570,PROPRIETARY,12,14,49957,23,44024
02338200,BAY STATE SCHOOL OF TECHNOLOGY,MA,020212358,PROPRIETARY,23,24,162644,43,146910
03115200,MOTORING TECHNICAL TRAINING INSTITUTE,MA,027715933,PROPRIETARY,0,0,0,0,0
03120800,KAY HARVEY HAIRDRESSING ACADEMY,MA,010892701,PROPRIETARY,4,4,18750,7,15700
03316400,FINE MORTUARY COLLEGE,MA,020624766,PROPRIETARY,1,1,16000,3,15999
04039300,SULLIVAN AND COGLIANO TRAINING CENTERS,MA,023014921,PROPRIETARY,0,0,0,0,0
00206200,BOWIE STATE UNIVERSITY,MD,207159465,PUBLIC,482,494,4839746,923,4576553
00206800,COPPIN STATE UNIVERSITY,MD,212163698,PUBLIC,0,0,0,0,0
00207600,HOOD COLLEGE,MD,217018575,PRIVATE,63,64,616664,131,602587
00207700,JOHNS HOPKINS UNIVERSITY,MD,212182693,PRIVATE,0,0,0,0,0
00207800,LOYOLA UNIVERSITY MARYLAND,MD,212102699,PRIVATE,0,0,0,0,0
00208300,MORGAN STATE UNIVERSITY,MD,212510002,PUBLIC,0,0,0,0,0
00209100,SALISBURY UNIVERSITY,MD,218016862,PUBLIC,1367,1445,13488769,2751,12930436
00209900,TOWSON UNIVERSITY,MD,212520002,PUBLIC,1975,2076,22707534,3980,21612033
00210600,UNIVERSITY OF MARYLAND - EASTERN SHORE,MD,218534053,PUBLIC,665,734,7027293,1256,6526311
00734100,INTERNATIONAL BEAUTY SCHOOL,MD,215022370,PROPRIETARY,6,6,24000,11,22000
00744700,DEL-MAR-VA BEAUTY ACADEMY,MD,218046952,PROPRIETARY,8,8,40306,13,36706
00794600,KAPLAN COLLEGE,MD,217422797,PROPRIETARY,162,206,1183882,483,1039876
00826300,AWARD BEAUTY SCHOOL,MD,217405624,PROPRIETARY,37,40,146537,64,127879
01164400,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,MD,207838078,PUBLIC,59,64,381813,123,327741
02269700,INTERNATIONAL BEAUTY SCHOOL - BEL AIR,MD,210143639,PROPRIETARY,4,4,16440,7,13961
02331000,MARYLAND BEAUTY ACADEMY OF ESSEX,MD,212216702,PROPRIETARY,7,7,51100,20,49191
02333000,HAIR ACADEMY,MD,207843002,PROPRIETARY,18,20,78137,28,70384
02343800,MONTGOMERY BEAUTY SCHOOL,MD,209013905,PROPRIETARY,14,14,56000,19,50240
02494700,BALTIMORE STUDIO OF HAIR DESIGN,MD,212013420,PROPRIETARY,9,10,54441,23,40753
02495100,MARYLAND BEAUTY ACADEMY,MD,211362331,PROPRIETARY,1,1,7400,3,7400
03027200,BLADES SCHOOL OF HAIR DESIGN,MD,206190226,PROPRIETARY,4,4,11887,6,11640
03064900,AARON'S ACADEMY OF BEAUTY,MD,206022715,PROPRIETARY,5,5,28550,9,24951
03097200,AESTHETICS INSTITUTE OF COSMETOLOGY,MD,208771305,PROPRIETARY,2,2,5025,3,5025
03148300,AMERICAN BEAUTY ACADEMY,MD,209021911,PROPRIETARY,21,23,98761,33,82931
03296300,BALTIMORE SCHOOL OF MASSAGE,MD,210902261,PROPRIETARY,0,0,0,0,0
03327300,NEW CREATIONS ACADEMY OF HAIR DESIGN,MD,207462960,PROPRIETARY,5,5,20000,9,18090
03771300,AMERICAN CAREER INSTITUTE,MD,209024637,PROPRIETARY,3,3,11000,5,11000
00203300,UNIVERSITY OF MAINE - PRESQUE ISLE,ME,047692888,PUBLIC,35,35,206465,63,192990
00203900,COLBY COLLEGE,ME,049018840,PRIVATE,8,8,154553,16,154553
00205200,THOMAS COLLEGE,ME,049015097,PRIVATE,73,79,585486,144,559706
00676000,UNIVERSITY OF MAINE - AUGUSTA,ME,043309410,PUBLIC,0,0,0,0,0
00903800,MR BERNARD'S SCHOOL OF HAIR FASHION,ME,042406627,PROPRIETARY,7,9,30631,15,28731
00945900,PIERRE'S SCHOOL OF COSMETOLOGY,ME,041013348,PROPRIETARY,69,78,321352,136,290753
03429300,SEACOAST CAREER SCHOOLS,ME,040730000,PROPRIETARY,57,57,462469,109,425086
00223600,ALMA COLLEGE,MI,488011599,PRIVATE,260,261,2406959,514,2311930
00223800,ANDREWS UNIVERSITY,MI,491040750,PRIVATE,260,292,2414235,545,2295247
00224100,CALVIN COLLEGE,MI,495464388,PRIVATE,117,123,1295116,231,1272882
