UNITID,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFA2,SCFA2,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XSCFY2,SCFY2,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XTOTGRNT,TOTGRNT,XTSTDPEL,TSTDPEL,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_A,FGRNT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_A,LOAN_A,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_A,AGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_A,OFGRT_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_A,OLOAN_A,XSCUGFFN,SCUGFFN,XSCUGRAD,SCUGRAD,XSCUGFFP,SCUGFFP 
182005,"R",1783,"R",5,"Z",0,"Z",0,"R",1526,"R",86,"R",257,"R",14,"Z",0,"Z",0,"R",37758,"A",,"A",,"A",,"R",850,"R",48,"R",27091979,"R",3450,"R",366,"R",21,"R",3598,"R",645,"R",36,"R",1002,"R",211,"R",12,"R",540,"R",137,"R",8,"R",4727,"R",819,"R",46,"R",2536,"R",366,"R",21,"R",3463,"R",45,"R",3,"R",1097,"R",137,"R",8,"R",4727,"Z",0,"Z",0,"A",,"R",1783,"R",37758,"R",5
182111,"R",24,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1043,"A",,"A",,"A",,"R",22,"R",92,"R",509529,"R",442,"R",9,"R",38,"R",2558,"Z",0,"Z",0,"A",,"R",13,"R",54,"R",2107,"R",21,"R",88,"R",14816,"R",18,"R",75,"R",2801,"R",9,"R",38,"R",2292,"R",2,"R",8,"R",1200,"R",21,"R",88,"R",6334,"R",13,"R",54,"R",13702,"R",24,"R",1043,"R",2
182148,"R",91,"R",14,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",639,"A",,"A",,"A",,"R",82,"R",90,"R",890445,"R",324,"R",62,"R",68,"R",3017,"Z",0,"Z",0,"A",,"R",1,"R",1,"R",1000,"R",74,"R",81,"R",6883,"R",70,"R",77,"R",2687,"R",62,"R",68,"R",2966,"R",7,"R",8,"R",452,"R",71,"R",78,"R",5672,"R",30,"R",33,"R",3554,"R",91,"R",639,"R",14
182209,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",228,"R",46,"R",499,"R",192,"R",84,"R",873332,"R",297,"R",170,"R",75,"R",2863,"R",1,"R",0,"R",4121,"R",3,"R",1,"R",836,"R",174,"R",76,"R",4786,"R",172,"R",75,"R",2868,"R",168,"R",74,"R",2720,"R",74,"R",32,"R",402,"R",174,"R",76,"R",4786,"Z",0,"Z",0,"A",,"R",228,"R",499,"R",46
182281,"R",2782,"R",13,"Z",0,"Z",0,"R",2245,"R",81,"R",537,"R",19,"Z",0,"Z",0,"R",21975,"A",,"A",,"A",,"R",2334,"R",84,"R",31416226,"R",3554,"R",586,"R",21,"R",3347,"R",1994,"R",72,"R",1656,"R",651,"R",23,"R",4649,"R",557,"R",20,"R",4327,"R",2108,"R",76,"R",3932,"R",538,"R",19,"R",2929,"R",220,"R",8,"R",1754,"R",543,"R",20,"R",3582,"R",41,"R",1,"R",11339,"R",2782,"R",21975,"R",13
182290,"R",2226,"R",17,"Z",0,"Z",0,"R",1855,"R",83,"R",371,"R",17,"Z",0,"Z",0,"R",13205,"A",,"A",,"A",,"R",2002,"R",90,"R",57619920,"R",1557,"R",276,"R",12,"R",3308,"R",1645,"R",74,"R",2334,"R",1535,"R",69,"R",1242,"R",464,"R",21,"R",4212,"R",1926,"R",87,"R",3457,"R",272,"R",12,"R",2632,"R",162,"R",7,"R",1218,"R",444,"R",20,"R",3315,"R",102,"R",5,"R",4731,"R",2226,"R",13205,"R",17
182306,"R",202,"R",6,"Z",0,"Z",0,"R",189,"R",94,"R",13,"R",6,"Z",0,"Z",0,"R",3216,"A",,"A",,"A",,"R",64,"R",32,"R",3739180,"R",351,"R",30,"R",15,"R",2156,"R",39,"R",19,"R",751,"R",31,"R",15,"R",1598,"R",22,"R",11,"R",3911,"R",61,"R",30,"R",2353,"R",22,"R",11,"R",2788,"R",8,"R",4,"R",417,"R",22,"R",11,"R",3911,"Z",0,"Z",0,"A",,"R",202,"R",3216,"R",6
182397,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",111,"R",42,"R",267,"R",45,"R",41,"R",197356,"R",62,"R",35,"R",32,"R",2644,"R",2,"R",2,"R",3243,"Z",0,"Z",0,"A",,"R",40,"R",36,"R",6104,"R",36,"R",32,"R",2750,"R",35,"R",32,"R",2567,"R",1,"R",1,"R",2667,"R",40,"R",36,"R",6104,"Z",0,"Z",0,"A",,"R",111,"R",267,"R",42
182430,"R",11,"R",10,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",105,"A",,"A",,"A",,"R",11,"R",100,"R",30984,"R",35,"R",6,"R",55,"R",2912,"Z",0,"Z",0,"A",,"R",1,"R",9,"R",1000,"R",11,"R",100,"R",9409,"R",6,"R",55,"R",3078,"R",6,"R",55,"R",2812,"R",2,"R",18,"R",300,"R",11,"R",100,"R",9400,"R",1,"R",9,"R",100,"R",11,"R",105,"R",10
182458,"R",71,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",302,"A",,"A",,"A",,"R",63,"R",89,"R",2491718,"R",82,"R",23,"R",32,"R",4039,"R",11,"R",15,"R",1920,"R",63,"R",89,"R",11598,"R",39,"R",55,"R",5389,"R",63,"R",89,"R",13407,"R",22,"R",31,"R",3030,"R",12,"R",17,"R",2187,"R",35,"R",49,"R",3791,"R",6,"R",8,"R",12916,"R",71,"R",302,"R",24
182500,"R",670,"R",6,"R",23,"R",3,"R",615,"R",92,"R",32,"R",5,"Z",0,"Z",0,"R",12166,"A",,"A",,"A",,"R",482,"R",72,"R",22774456,"R",1227,"R",135,"R",20,"R",3954,"R",225,"R",34,"R",840,"R",54,"R",8,"R",843,"R",68,"R",10,"R",4843,"R",414,"R",62,"R",1856,"R",127,"R",19,"R",3419,"R",39,"R",6,"R",2553,"R",67,"R",10,"R",4852,"R",1,"R",0,"R",4250,"R",670,"R",12166,"R",6
