OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
02143000,LONGY SCHOOL OF MUSIC,MA,021383599,PRIVATE,1,1,14350,2,14350
02161300,WESTON SCHOOL OF THEOLOGY,MA,021383495,PRIVATE,0,0,0,0,0
02163500,NEW ENGLAND SCHOOL OF PHOTOGRAPHY,MA,022152005,PROPRIETARY,39,40,729966,104,657708
02163600,MASSACHUSETTS SCHOOL OF PROFESSIONAL PSYCHOLOGY,MA,021324935,PRIVATE,0,0,0,0,0
02169900,ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL,MA,017521288,PUBLIC,0,0,0,0,0
02181600,ROB ROY ACADEMY,MA,016092038,PROPRIETARY,15,15,66988,26,58714
02182900,CAMBRIDGE COLLEGE,MA,021385304,PRIVATE,2,2,14000,3,14000
02197900,NORTH BENNET STREET SCHOOL,MA,021131914,PRIVATE,7,7,87375,14,87375
02220400,CATHERINE HINDS INSTITUTE OF ESTHETICS,MA,018016815,PROPRIETARY,28,32,224011,55,214573
02231600,MGH INSTITUTE OF HEALTH PROFESSIONS,MA,021294557,PRIVATE,0,0,0,0,0
02274300,CONWAY SCHOOL OF LANDSCAPE DESIGN,MA,013410179,PRIVATE,0,0,0,0,0
02325700,LABARON HAIRDRESSING ACADEMY,MA,027406031,PROPRIETARY,0,0,0,0,0
02337400,BANCROFT SCHOOL OF MASSAGE THERAPY,MA,016044614,PROPRIETARY,1,1,9700,2,9700
02339400,ROB ROY ACADEMY,MA,027462114,PROPRIETARY,13,15,74291,27,67634
02491700,CORTIVA INSTITUTE -  BOSTON,MA,024722577,PROPRIETARY,6,6,23120,12,23120
02523900,ELIZABETH GRADY SCHOOL OF ESTHETICS AND MASSAGE THERAPY,MA,021554243,PROPRIETARY,19,19,111950,29,111950
02579800,NEW ENGLAND SCHOOL OF ACUPUNCTURE,MA,024581005,PRIVATE,0,0,0,0,0
03066700,AILANO SCHOOL OF COSMETOLOGY,MA,023014740,PROPRIETARY,1,1,10000,2,10000
03104000,SHAWSHEEN VALLEY TECHNICAL HIGH SCHOOL,MA,018215499,PUBLIC,0,0,0,0,0
03115200,MOTORING TECHNICAL TRAINING INSTITUTE,MA,027715933,PROPRIETARY,23,24,121257,46,118057
03127700,SOUTHERN NEW ENGLAND SCHOOL OF LAW,MA,027471252,PRIVATE,0,0,0,0,0
03166400,PITTSFIELD VOCATIONAL SCHOOL,MA,012014779,PUBLIC,2,2,5453,2,5453
03194300,BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS,MA,024464602,PRIVATE,0,0,0,0,0
03196300,LINCOLN TECHNICAL INSTITUTE,MA,021451102,PROPRIETARY,73,78,497413,139,450334
03205400,JOLIE HAIR & BEAUTY ACADEMY,MA,010562769,PROPRIETARY,1,1,1200,2,1200
03235300,MASSACHUSETTS SCHOOL OF LAW AT ANDOVER,MA,018101094,PRIVATE,0,0,0,0,0
03240300,HAIR IN MOTION BEAUTY ACADEMY,MA,016042213,PROPRIETARY,9,9,50421,18,50421
03248300,BOSTON BAPTIST COLLEGE,MA,021364000,PRIVATE,10,11,49000,18,49000
