unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
188924,"R",22,"R",100,"B",,"B",,"B",,"B",,"B",,"B",,"R",22,"R",100,"R",22,"B",,"B",,"B",,"R",22,"R",100,"R",16,"R",73,"R",2551,"R",15,"R",68,"R",1920,"R",9,"R",41,"R",2836,"R",13,"R",59,"R",2791
188942,"R",34,"R",33,"B",,"B",,"B",,"B",,"B",,"B",,"R",34,"R",100,"R",102,"B",,"B",,"B",,"R",21,"R",62,"R",20,"R",59,"R",3998,"R",0,"R",0,"R",0,"R",7,"R",21,"R",904,"R",0,"R",0,"R",0
188988,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",89,"R",100,"R",89,"R",79,"R",89,"R",77,"R",87,"R",1520,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",52,"R",58,"R",2000
189088,"R",335,"R",27,"B",,"B",,"B",,"B",,"B",,"B",,"R",335,"R",100,"R",1233,"B",,"B",,"B",,"R",218,"R",65,"R",65,"R",19,"R",3031,"R",85,"R",25,"R",5481,"R",213,"R",64,"R",14230,"R",184,"R",55,"R",3399
189097,"R",558,"R",24,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",2318,"B",,"B",,"B",,"R",286,"R",51,"R",104,"B",,"R",3386,"R",95,"B",,"R",3784,"R",235,"B",,"R",15803,"R",219,"B",,"R",2522
189103,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",41,"R",100,"R",41,"R",5,"R",12,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",12,"R",15000
189158,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",4,"R",18,"R",22,"R",3,"R",75,"R",2,"R",50,"H",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",75,"R",5292
189219,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",108,"R",100,"R",108,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
189228,"R",628,"R",37,"B",,"B",,"B",,"B",,"B",,"B",,"R",628,"R",100,"R",1720,"B",,"B",,"B",,"R",544,"R",87,"R",372,"R",59,"R",2582,"R",347,"R",55,"R",3081,"R",530,"R",84,"R",2026,"R",416,"R",66,"R",3223
189246,"R",193,"R",28,"B",,"B",,"B",,"B",,"B",,"B",,"R",193,"R",100,"R",680,"B",,"B",,"B",,"R",186,"R",96,"R",108,"R",56,"R",2550,"R",122,"R",63,"R",2691,"R",176,"R",91,"R",2092,"R",155,"R",80,"R",3251
