OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00115500,SAN JOSE STATE UNIVERSITY,CA,951920036,PUBLIC,300,317,3309778,578,3252275
00115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,953820299,PUBLIC,126,129,1068698,241,1039549
00116100,CERRITOS COMMUNITY COLLEGE,CA,906506296,PUBLIC,0,0,0,0,0
00116200,CHABOT COLLEGE,CA,945452400,PUBLIC,0,0,0,0,0
00116300,CHAFFEY COMMUNITY COLLEGE,CA,917379400,PUBLIC,0,0,0,0,0
00116400,CHAPMAN UNIVERSITY,CA,928661099,PRIVATE,869,966,10257273,1803,10063708
00116500,CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,947091217,PRIVATE,0,0,0,0,0
00116600,CITRUS COMMUNITY COLLEGE,CA,917411899,PUBLIC,0,0,0,0,0
00116900,CLAREMONT GRADUATE UNIVERSITY,CA,917116163,PRIVATE,0,0,0,0,0
00117000,CLAREMONT MCKENNA COLLEGE,CA,917116400,PRIVATE,51,54,1188727,103,1188727
00117100,HARVEY MUDD COLLEGE,CA,917115990,PRIVATE,71,71,1106762,130,1086200
00117200,PITZER COLLEGE,CA,917116101,PRIVATE,59,65,1609047,115,1588759
00117300,POMONA COLLEGE,CA,917116301,PRIVATE,60,69,1165691,129,1149383
00117400,SCRIPPS COLLEGE,CA,917113948,PRIVATE,69,73,1749692,139,1737480
00117600,WEST HILLS COMMUNITY COLLEGE,CA,932101399,PUBLIC,2,2,3200,2,3200
00117700,COGSWELL POLYTECHNICAL COLLEGE,CA,940891210,PRIVATE,20,26,297171,44,284281
00117800,COLLEGE OF MARIN,CA,949042590,PUBLIC,1,1,8000,2,8000
00117900,NOTRE DAME DE NAMUR UNIVERSITY,CA,940021997,PRIVATE,111,120,1962886,212,1860841
00118100,COLLEGE OF SAN MATEO,CA,944023784,PUBLIC,4,5,25077,7,25077
00118200,COLLEGE OF THE DESERT,CA,922609305,PUBLIC,4,4,30000,6,22500
00118300,HOLY NAMES UNIVERSITY,CA,946191699,PRIVATE,80,90,1016567,161,1000866
00118500,COLLEGE OF THE REDWOODS,CA,955019300,PUBLIC,13,13,126016,24,115130
00118600,COLLEGE OF THE SEQUOIAS,CA,932772234,PUBLIC,0,0,0,0,0
00118700,COLLEGE OF THE SISKIYOUS,CA,960942899,PUBLIC,12,13,89896,23,82396
00119000,CONTRA COSTA COLLEGE,CA,948063195,PUBLIC,0,0,0,0,0
00119100,DIABLO VALLEY COLLEGE,CA,945231544,PUBLIC,6,6,34398,7,34398
00119200,CUESTA COLLEGE,CA,934038106,PUBLIC,0,0,0,0,0
00119300,CYPRESS COLLEGE,CA,906305897,PUBLIC,0,0,0,0,0
00119600,DOMINICAN UNIVERSITY OF CALIFORNIA,CA,949012298,PRIVATE,145,158,3077116,282,3008056
00119700,EL CAMINO COLLEGE,CA,905060002,PUBLIC,0,0,0,0,0
00119900,FOOTHILL COLLEGE,CA,940224597,PUBLIC,2,2,6000,5,6000
00120000,FULLER THEOLOGICAL SEMINARY,CA,911820002,PRIVATE,0,0,0,0,0
00120100,FULLERTON COLLEGE,CA,928322095,PUBLIC,26,28,231311,45,227312
00120200,GAVILAN COLLEGE,CA,950209599,PUBLIC,0,0,0,0,0
00120300,GLENDALE COMMUNITY COLLEGE,CA,912082894,PUBLIC,5,5,47196,8,42696
00120500,GOLDEN GATE UNIVERSITY,CA,941052967,PRIVATE,2,4,60410,7,47910
