V6901,V6902,V7071,V7095,V7193,V7261,V7451,ER72001,ER72002,ER72022,ER72024,ER72164,ER72441,ER77631
3,534,0,1,6,1,13,1,5207,0,1,1,4,33.322
3,4435,0,1,0,4,25,,,,,,,
3,1190,0,1,0,2,25,1,5032,0,1,5,1,32.032
,,,,,,,1,4690,0,3,1,0,20.535
,,,,,,,1,6194,0,4,1,0,70.866
,,,,,,,1,5441,0,4,6,0,64.014
,,,,,,,1,9258,1,1,1,1,16.08
,,,,,,,1,7658,13,1,1,1,16.546
,,,,,,,1,5717,10,1,1,1,15.205
,,,,,,,1,9320,3,1,1,1,5.652
,,,,,,,1,4942,0,2,1,0,22.223
,,,,,,,1,5702,0,2,1,0,35.469
,,,,,,,1,6580,1,1,1,6,16.875
3,532,0,1,1,1,13,,,,,,,
3,1443,1,1,6,1,13,1,6169,0,1,1,1,29.692
,,,,,,,1,5307,0,4,1,0,5.518
,,,,,,,1,5126,0,1,4,6,29.005
,,,,,,,1,5299,0,1,1,1,11.329
,,,,,,,1,7899,14,4,1,0,9.021
3,1451,0,4,0,3,34,,,,,,,
3,764,0,6,0,3,36,,,,,,,
3,765,15,3,1,1,34,,,,,,,
,,,,,,,1,2242,0,3,4,0,75.468
3,835,1,1,0,5,30,,,,,,,
,,,,,,,1,1594,0,4,3,0,65.007
,,,,,,,1,1550,0,5,6,0,62.063
,,,,,,,1,2442,0,2,5,0,16.668
,,,,,,,1,1787,4,2,3,0,19.842
,,,,,,,1,1686,4,2,3,0,20.103
3,763,0,4,4,1,36,,,,,,,
3,2598,0,1,0,5,36,,,,,,,
3,3154,3,1,6,1,19,,,,,,,
3,520,9,1,6,1,19,1,5892,0,1,1,4,38.928
,,,,,,,1,5160,12,4,6,0,23.059
,,,,,,,1,6093,14,1,1,1,30.155
,,,,,,,1,6716,0,2,1,0,23.039
3,3760,1,1,6,1,19,1,5915,0,1,5,4,48.034
,,,,,,,1,5852,0,1,7,1,21.05
3,829,0,4,1,1,34,,,,,,,
,,,,,,,1,7264,0,1,1,6,32.628
3,836,1,1,1,1,18,1,5199,0,1,4,4,39.442
,,,,,,,1,6396,1,1,1,1,22.576
,,,,,,,1,7189,1,1,1,1,20.105
,,,,,,,1,8679,0,1,1,1,20.226
,,,,,,,1,4628,0,1,4,1,36.133
,,,,,,,1,9341,1,1,1,1,20.602
,,,,,,,1,4790,4,1,1,1,17.68
3,4132,0,1,0,4,37,,,,,,,
3,428,0,1,1,1,18,,,,,,,
3,1347,0,4,6,1,34,,,,,,,
3,337,0,1,0,2,32,,,,,,,
3,1032,0,1,0,3,34,,,,,,,
3,246,1,6,0,2,29,,,,,,,
3,1571,0,1,6,1,16,,,,,,,
3,245,13,1,0,4,34,1,2401,0,4,4,0,74.224
,,,,,,,1,1585,11,1,1,1,39.875
,,,,,,,1,2082,0,1,3,1,19.537
3,4036,0,4,0,3,30,,,,,,,
3,4035,0,1,0,2,30,,,,,,,
3,2337,0,6,0,3,32,,,,,,,
3,4825,11,1,6,1,30,,,,,,,
,,,,,,,1,3455,0,3,4,0,66.954
,,,,,,,1,3494,0,2,4,0,71.83
3,527,0,4,0,4,37,,,,,,,
3,5486,0,1,6,1,40,,,,,,,
3,4451,3,6,0,1,38,1,70,0,4,1,0,94.548
,,,,,,,1,84,0,2,1,0,43.006
3,3025,0,1,0,3,23,,,,,,,
3,2396,0,3,0,2,26,1,137,0,2,6,0,60.202
3,2184,0,4,0,3,35,,,,,,,
3,4197,0,1,1,1,16,1,6517,0,4,4,4,36.985
3,5518,14,3,0,4,32,,,,,,,
3,5517,1,1,6,1,14,1,5579,0,5,4,0,35.861
,,,,,,,1,8057,0,2,1,0,66.07
,,,,,,,1,4796,6,1,1,1,18.491
3,4196,0,1,1,1,14,,,,,,,
,,,,,,,1,6529,7,1,1,1,16.719
,,,,,,,1,7542,0,1,1,5,32.943
,,,,,,,1,4877,0,3,4,4,34.716
,,,,,,,1,6438,2,1,3,1,16.315
,,,,,,,1,7341,1,2,1,6,16.849
3,2089,4,1,1,1,17,,,,,,,
3,4111,0,1,0,1,65,,,,,,,
3,2090,9,1,1,1,17,,,,,,,
3,2523,9,1,1,1,17,,,,,,,
3,5286,0,1,1,1,15,,,,,,,
3,885,0,1,1,1,34,,,,,,,
3,6275,2,1,6,1,15,,,,,,,
3,6286,0,1,0,2,30,,,,,,,
,,,,,,,1,7278,2,1,1,6,20.788
3,5182,0,1,6,1,19,,,,,,,
,,,,,,,1,8476,12,1,1,7,23.35
,,,,,,,1,9137,14,1,4,1,9.793
,,,,,,,1,7117,8,1,1,1,22.179
3,5678,16,1,1,1,34,1,7892,0,3,4,0,79.128
,,,,,,,1,5977,0,4,1,0,73.582
,,,,,,,1,4868,0,2,1,0,73.055
,,,,,,,1,7739,0,2,1,0,40.269
,,,,,,,1,7409,0,2,1,0,35.601
3,2504,1,1,1,1,15,1,5699,0,1,4,4,33.906
3,1890,1,3,1,1,16,,,,,,,
3,2503,1,1,1,1,15,,,,,,,
,,,,,,,1,7607,3,1,1,1,17.493
,,,,,,,1,5310,0,1,2,1,36.81
,,,,,,,1,9431,1,2,6,1,19.023
3,5720,0,1,0,4,34,,,,,,,
,,,,,,,1,1336,0,2,1,0,19.368
3,4130,16,1,1,1,18,,,,,,,
,,,,,,,1,866,0,4,1,0,18.579
,,,,,,,1,335,0,1,1,1,39.726
3,4430,5,1,1,1,34,,,,,,,
3,4623,8,1,1,1,34,,,,,,,
3,2181,0,4,4,1,42,,,,,,,
3,3493,14,1,1,1,40,,,,,,,
,,,,,,,1,2331,1,1,1,1,24.765
,,,,,,,1,1595,0,1,1,1,42.443
,,,,,,,1,1555,2,1,1,1,21.088
3,108,0,4,6,1,31,,,,,,,
3,563,0,1,0,2,35,1,52,0,2,4,0,74.958
,,,,,,,1,8486,0,1,5,1,23.717
,,,,,,,1,8413,0,2,1,0,24.083
3,5365,4,1,6,1,16,1,4544,0,1,4,0,41.614
3,5402,6,7,2,1,35,1,647,0,1,4,4,76.242
,,,,,,,1,1202,0,1,1,1,35.636
3,1675,0,4,6,1,34,,,,,,,
3,3339,0,1,0,5,40,1,3518,0,4,6,0,90.094
3,2727,0,1,0,5,36,1,3463,0,4,4,0,110.964
,,,,,,,1,3862,0,5,3,0,71.621
3,827,0,5,0,5,18,,,,,,,
3,823,0,4,0,5,18,,,,,,,
3,1217,1,6,0,5,18,1,6369,0,4,1,0,46.141
,,,,,,,1,6420,8,5,1,0,16.101
,,,,,,,1,5185,0,4,1,0,45.613
,,,,,,,1,6749,0,2,3,0,12.036
,,,,,,,1,4739,4,2,1,1,6.461
,,,,,,,1,4639,0,2,3,0,23.841
,,,,,,,1,8672,3,2,1,0,5.69
,,,,,,,1,6744,5,5,7,0,5.042
,,,,,,,1,6536,13,1,1,7,23.318
,,,,,,,1,6153,1,4,1,0,5.764
,,,,,,,1,8287,0,5,1,0,12.437
3,4292,17,1,6,1,35,1,4860,0,3,4,0,32.825
,,,,,,,1,8990,0,4,1,0,44.731
,,,,,,,1,4788,2,2,3,0,17.668
3,6400,10,2,6,1,21,1,8625,0,1,1,6,36.243
,,,,,,,1,8403,12,4,1,0,12.699
,,,,,,,1,9462,1,2,7,3,13.654
3,3341,0,5,0,4,34,,,,,,,
3,3340,0,6,0,3,36,,,,,,,
3,1177,0,4,6,1,31,,,,,,,
3,5118,1,1,6,1,16,,,,,,,
3,992,1,1,6,1,30,1,965,0,1,1,1,68.876
,,,,,,,1,1210,0,2,1,1,39.519
,,,,,,,1,874,9,1,1,1,36.483
3,5115,0,1,4,1,14,,,,,,,
3,5113,0,1,1,2,14,1,6532,0,1,1,6,36.014
3,5116,2,1,6,1,16,1,7946,0,1,4,4,36.694
,,,,,,,1,9354,0,2,1,0,37.373
,,,,,,,1,9075,13,1,1,1,17.021
3,5516,9,1,1,1,33,,,,,,,
,,,,,,,1,1832,0,1,4,1,34.375
,,,,,,,1,1393,0,4,1,0,19.106
,,,,,,,1,2506,0,1,5,1,22.956
