OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00271300,DOMINICAN COLLEGE OF BLAUVELT,NY,109621210,Private-Nonprofit,207,245,2753115,385,2753115
00271800,ELMIRA COLLEGE,NY,149012099,Private-Nonprofit,210,232,3304987,420,3304987
00272200,FORDHAM UNIVERSITY - ROSE HILL CAMPUS,NY,104585157,Private-Nonprofit,933,1111,27685227,1947,27685227
00272600,GENERAL THEOLOGICAL SEMINARY OF THE EPISCOPAL CHURCH (THE),NY,100112981,Private-Nonprofit,-,-, -,-, -
00272800,HAMILTON COLLEGE,NY,133231218,Private-Nonprofit,130,138,3429713,252,3429713
00272900,HARTWICK COLLEGE,NY,138204020,Private-Nonprofit,347,349,5822200,643,5822200
00273100,HOBART AND WILLIAM SMITH COLLEGES,NY,144563397,Private-Nonprofit,238,275,5547496,465,5547496
00273200,HOFSTRA UNIVERSITY,NY,115491010,Private-Nonprofit,1428,1625,39145066,2751,39145066
00273400,HOUGHTON COLLEGE,NY,147440128,Private-Nonprofit,141,151,1793298,261,1793298
00273500,HILBERT COLLEGE,NY,140751597,Private-Nonprofit,93,104,1042507,171,1042507
00273700,IONA COLLEGE,NY,108011890,Private-Nonprofit,754,926,15023175,1544,15023175
00273900,ITHACA COLLEGE,NY,148507000,Private-Nonprofit,751,902,17702020,1487,17702020
00274000,JEWISH THEOLOGICAL SEMINARY OF AMERICA (THE),NY,100274649,Private-Nonprofit,10,10,376011,20,376011
00274100,AMERICAN JEWISH UNIVERSITY,CA,900771599,Private-Nonprofit,5,5,107454,10,107454
00274200,JUILLIARD SCHOOL (THE),NY,100236588,Private-Nonprofit,52,56,1164716,104,1164716
00274400,KEUKA COLLEGE,NY,144780000,Private-Nonprofit,226,252,3376543,439,3376543
00274800,LE MOYNE COLLEGE,NY,132141399,Private-Nonprofit,344,412,5389161,663,5389161
00274900,NEW YORK COLLEGE OF PODIATRIC MEDICINE,NY,100351940,Private-Nonprofit,-,-, -,-, -
00275100,LONG ISLAND UNIVERSITY,NY,115481326,Private-Nonprofit,1155,1304,27633313,2540,27633313
